name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
K.C-琼斯;凯尔特人;1;39;3;4500000;2;2;46;32;34;46;4
斯坦-艾尔贝克;篮网;2;62;2;4500000;0;-1;46;32;34;46;3
胡比-布朗;尼克斯;3;50;2;2000000;2;2;46;32;34;46;3
比利-康宁汉姆;76人;4;54;2;2000000;-2;2;46;32;34;46;3
猛龙教练;猛龙;5;58;1;2000000;0;-1;46;32;34;46;3
凯文-朗格里;公牛;6;43;1;3500000;-1;1;46;32;34;46;3
汤姆-尼萨尔科;骑士;7;56;2;2000000;0;0;46;32;34;46;3
查克-戴利;活塞;8;53;4;6500000;2;2;46;32;34;46;3
吉克-迈克尼;步行者;9;42;2;2000000;-2;-2;46;32;34;46;3
唐-尼尔森;雄鹿;10;42;3;5000000;2;2;46;32;34;46;3
迈克-弗雷特洛;老鹰;11;43;3;3500000;-1;0;46;32;34;46;4
山猫教练;山猫;12;54;1;2000000;-2;0;46;32;34;46;3
热火教练;热火;13;44;2;2000000;1;-2;46;32;34;46;3
魔术教练;魔术;14;51;1;2000000;1;1;46;32;34;46;3
基恩-苏;子弹;15;56;2;2000000;1;0;46;32;34;46;3
迪克-莫塔;小牛;16;56;3;8000000;-2;-2;46;32;34;46;5
比尔-费奇;火箭;17;47;1;2000000;1;1;46;32;34;46;3
灰熊教练;灰熊;18;41;2;3500000;2;1;46;32;34;46;3
黄蜂教练;黄蜂;19;61;1;2000000;-2;1;46;32;34;46;3
鲍勃-巴斯;马刺;20;66;1;1000000;-2;-1;46;32;34;46;5
豆格-莫;掘金;21;45;1;2000000;1;1;46;32;34;46;3
森林狼教练;森林狼;22;60;1;2000000;-1;0;46;32;34;46;5
杰克-拉姆西;开拓者;23;59;1;2000000;2;2;46;32;34;46;3
兰尼-威尔肯斯;超音速;24;49;3;2000000;2;2;46;32;34;46;2
弗兰克-雷登;爵士;25;51;3;2000000;1;2;46;32;34;46;3
约翰-巴赫;勇士;26;60;2;6500000;-2;0;46;32;34;46;5
吉姆-利耶姆;快船;27;54;2;7500000;0;0;46;32;34;46;3
帕特-莱利;湖人;28;39;2;2000000;3;1;46;32;34;46;3
约翰-克劳德;太阳;29;46;2;2000000;1;1;46;32;34;46;3
克顿-菲茨西蒙斯;国王;30;44;2;2000000;1;-1;46;32;34;46;2
阿诺德-里德-奥尔巴赫;0;0;62;0;0;2;2;46;32;34;46;19
菲尔-杰克逊;0;0;32;0;0;2;2;46;32;34;46;0
